From	To	Species	Gene Name
CCR9	10803	Homo sapiens	C-C motif chemokine receptor 9(CCR9)
CRHR1	1394	Homo sapiens	corticotropin releasing hormone receptor 1(CRHR1)
GRB10	2887	Homo sapiens	growth factor receptor bound protein 10(GRB10)
CD37	951	Homo sapiens	CD37 molecule(CD37)
XXYLT1	152002	Homo sapiens	xyloside xylosyltransferase 1(XXYLT1)
RARS	5917	Homo sapiens	arginyl-tRNA synthetase(RARS)
SLC37A1	54020	Homo sapiens	solute carrier family 37 member 1(SLC37A1)
ASB1	51665	Homo sapiens	ankyrin repeat and SOCS box containing 1(ASB1)
FBXL3	26224	Homo sapiens	F-box and leucine rich repeat protein 3(FBXL3)
GATB	5188	Homo sapiens	glutamyl-tRNA amidotransferase subunit B(GATB)
TPST1	8460	Homo sapiens	tyrosylprotein sulfotransferase 1(TPST1)
ARFGAP1	55738	Homo sapiens	ADP ribosylation factor GTPase activating protein 1(ARFGAP1)
DBNDD1	79007	Homo sapiens	dysbindin domain containing 1(DBNDD1)
PAM	5066	Homo sapiens	peptidylglycine alpha-amidating monooxygenase(PAM)
CRELD2	79174	Homo sapiens	cysteine rich with EGF like domains 2(CRELD2)
MIPOL1	145282	Homo sapiens	mirror-image polydactyly 1(MIPOL1)
STK10	6793	Homo sapiens	serine/threonine kinase 10(STK10)
DCDC2C	728597	Homo sapiens	doublecortin domain containing 2C(DCDC2C)
DUSP12	11266	Homo sapiens	dual specificity phosphatase 12(DUSP12)
AHRR	57491	Homo sapiens	aryl-hydrocarbon receptor repressor(AHRR)
SLC48A1	55652	Homo sapiens	solute carrier family 48 member 1(SLC48A1)
DDX60L	91351	Homo sapiens	DEAD-box helicase 60-like(DDX60L)
TCTN1	79600	Homo sapiens	tectonic family member 1(TCTN1)
TCF25	22980	Homo sapiens	transcription factor 25(TCF25)
LFNG	3955	Homo sapiens	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(LFNG)
UNC45A	55898	Homo sapiens	unc-45 myosin chaperone A(UNC45A)
TBC1D31	93594	Homo sapiens	TBC1 domain family member 31(TBC1D31)
SASH1	23328	Homo sapiens	SAM and SH3 domain containing 1(SASH1)
TSEN54	283989	Homo sapiens	tRNA splicing endonuclease subunit 54(TSEN54)
KANSL1	284058	Homo sapiens	KAT8 regulatory NSL complex subunit 1(KANSL1)
GINS3	64785	Homo sapiens	GINS complex subunit 3(GINS3)
CNKSR3	154043	Homo sapiens	CNKSR family member 3(CNKSR3)
GALT	2592	Homo sapiens	galactose-1-phosphate uridylyltransferase(GALT)
MTHFSD	64779	Homo sapiens	methenyltetrahydrofolate synthetase domain containing(MTHFSD)
HDDC3	374659	Homo sapiens	HD domain containing 3(HDDC3)
SNW1	22938	Homo sapiens	SNW domain containing 1(SNW1)
ECM2	1842	Homo sapiens	extracellular matrix protein 2(ECM2)
LHPP	64077	Homo sapiens	phospholysine phosphohistidine inorganic pyrophosphate phosphatase(LHPP)
GAS8	2622	Homo sapiens	growth arrest specific 8(GAS8)
HERPUD2	64224	Homo sapiens	HERPUD family member 2(HERPUD2)
TNKS1BP1	85456	Homo sapiens	tankyrase 1 binding protein 1(TNKS1BP1)
PPIE	10450	Homo sapiens	peptidylprolyl isomerase E(PPIE)
LOXHD1	125336	Homo sapiens	lipoxygenase homology domains 1(LOXHD1)
PTCD3	55037	Homo sapiens	pentatricopeptide repeat domain 3(PTCD3)
DCP1B	196513	Homo sapiens	decapping mRNA 1B(DCP1B)
TDG	6996	Homo sapiens	thymine DNA glycosylase(TDG)
CACNA1C	775	Homo sapiens	calcium voltage-gated channel subunit alpha1 C(CACNA1C)
ALG12	79087	Homo sapiens	ALG12, alpha-1,6-mannosyltransferase(ALG12)
HDAC7	51564	Homo sapiens	histone deacetylase 7(HDAC7)
MAD1L1	8379	Homo sapiens	MAD1 mitotic arrest deficient like 1(MAD1L1)
FIGNL1	63979	Homo sapiens	fidgetin like 1(FIGNL1)
WWC1	23286	Homo sapiens	WW and C2 domain containing 1(WWC1)
RNF185	91445	Homo sapiens	ring finger protein 185(RNF185)
SLIRP	81892	Homo sapiens	SRA stem-loop interacting RNA binding protein(SLIRP)
HVCN1	84329	Homo sapiens	hydrogen voltage gated channel 1(HVCN1)
SBDS	51119	Homo sapiens	SBDS ribosome assembly guanine nucleotide exchange factor(SBDS)
SLC24A4	123041	Homo sapiens	solute carrier family 24 member 4(SLC24A4)
NBPF1	55672	Homo sapiens	neuroblastoma breakpoint family member 1(NBPF1)
MAPT	4137	Homo sapiens	microtubule associated protein tau(MAPT)
CXCR6	10663	Homo sapiens	C-X-C motif chemokine receptor 6(CXCR6)
LRRFIP1	9208	Homo sapiens	LRR binding FLII interacting protein 1(LRRFIP1)
FANCA	2175	Homo sapiens	Fanconi anemia complementation group A(FANCA)
USP15	9958	Homo sapiens	ubiquitin specific peptidase 15(USP15)
SEC24D	9871	Homo sapiens	SEC24 homolog D, COPII coat complex component(SEC24D)
TUBB3	10381	Homo sapiens	tubulin beta 3 class III(TUBB3)
NSF	4905	Homo sapiens	N-ethylmaleimide sensitive factor, vesicle fusing ATPase(NSF)
RTEL1	51750	Homo sapiens	regulator of telomere elongation helicase 1(RTEL1)
DPEP1	1800	Homo sapiens	dipeptidase 1 (renal)(DPEP1)
C12orf43	64897	Homo sapiens	chromosome 12 open reading frame 43(C12orf43)
DDC	1644	Homo sapiens	dopa decarboxylase(DDC)
CTBP2	1488	Homo sapiens	C-terminal binding protein 2(CTBP2)
POLR1D	51082	Homo sapiens	RNA polymerase I subunit D(POLR1D)
NOL8	55035	Homo sapiens	nucleolar protein 8(NOL8)
RPH3AL	9501	Homo sapiens	rabphilin 3A-like (without C2 domains)(RPH3AL)
MPP6	51678	Homo sapiens	membrane palmitoylated protein 6(MPP6)
KTN1	3895	Homo sapiens	kinectin 1(KTN1)
ARHGAP27	201176	Homo sapiens	Rho GTPase activating protein 27(ARHGAP27)
NUP85	79902	Homo sapiens	nucleoporin 85(NUP85)
MBD4	8930	Homo sapiens	methyl-CpG binding domain 4, DNA glycosylase(MBD4)
RNF175	285533	Homo sapiens	ring finger protein 175(RNF175)
PALLD	23022	Homo sapiens	palladin, cytoskeletal associated protein(PALLD)
KLHDC4	54758	Homo sapiens	kelch domain containing 4(KLHDC4)
PIGN	23556	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
CAPN10	11132	Homo sapiens	calpain 10(CAPN10)
ZDHHC11	79844	Homo sapiens	zinc finger DHHC-type containing 11(ZDHHC11)
STH	246744	Homo sapiens	saitohin(STH)
USP20	10868	Homo sapiens	ubiquitin specific peptidase 20(USP20)
CLN8	2055	Homo sapiens	ceroid-lipofuscinosis, neuronal 8(CLN8)
CLN5	1203	Homo sapiens	ceroid-lipofuscinosis, neuronal 5(CLN5)
CAB39L	81617	Homo sapiens	calcium binding protein 39 like(CAB39L)
MGMT	4255	Homo sapiens	O-6-methylguanine-DNA methyltransferase(MGMT)
ABTB1	80325	Homo sapiens	ankyrin repeat and BTB domain containing 1(ABTB1)
GPR68	8111	Homo sapiens	G protein-coupled receptor 68(GPR68)
TCF7L1	83439	Homo sapiens	transcription factor 7 like 1(TCF7L1)
RPA3	6119	Homo sapiens	replication protein A3(RPA3)
AMPH	273	Homo sapiens	amphiphysin(AMPH)
BEST3	144453	Homo sapiens	bestrophin 3(BEST3)
ERCC5	2073	Homo sapiens	ERCC excision repair 5, endonuclease(ERCC5)
MYOM2	9172	Homo sapiens	myomesin 2(MYOM2)
DISP1	84976	Homo sapiens	dispatched RND transporter family member 1(DISP1)
TYW1	55253	Homo sapiens	tRNA-yW synthesizing protein 1 homolog(TYW1)
ETV1	2115	Homo sapiens	ETS variant 1(ETV1)
FYCO1	79443	Homo sapiens	FYVE and coiled-coil domain containing 1(FYCO1)
EIF4ENIF1	56478	Homo sapiens	eukaryotic translation initiation factor 4E nuclear import factor 1(EIF4ENIF1)
SLC12A5	57468	Homo sapiens	solute carrier family 12 member 5(SLC12A5)
CENPP	401541	Homo sapiens	centromere protein P(CENPP)
SFI1	9814	Homo sapiens	SFI1 centrin binding protein(SFI1)
CFAP44	55779	Homo sapiens	cilia and flagella associated protein 44(CFAP44)
ARL17A	51326	Homo sapiens	ADP ribosylation factor like GTPase 17A(ARL17A)
CLEC3A	10143	Homo sapiens	C-type lectin domain family 3 member A(CLEC3A)
SPATA2L	124044	Homo sapiens	spermatogenesis associated 2 like(SPATA2L)
MEGF6	1953	Homo sapiens	multiple EGF like domains 6(MEGF6)
SETD4	54093	Homo sapiens	SET domain containing 4(SETD4)
FAM220A	84792	Homo sapiens	family with sequence similarity 220 member A(FAM220A)
