"rsID" "PosID" "Direction" "Spearman_rho" "-log10(p)"
"130" "rs17103963" "10_86466630" "fwd" -0.271 2.8889
"131" "rs17103963" "10_86466630" "rev" -0.27 2.8683
"132" "rs17117549" "12_53046507" "fwd" 0.255 2.5973
"133" "rs17117549" "12_53046507" "rev" 0.262 2.7192
"134" "rs17117812" "12_53059513" "fwd" -0.258 2.6461
"135" "rs17197963" "14_22653667" "rev" -0.147 1.0725
"136" "rs17197963" "14_22653667" "fwd" -0.147 1.0725
"137" "rs17201968" "9_100895717" "fwd" -0.292 3.2963
"138" "rs17207897" "10_61817480" "rev" 0.227 2.1272
"139" "rs17209297" "7_43564142" "rev" -0.285 3.1457
"140" "rs17220174" "8_53111074" "fwd" -0.226 2.1193
"141" "rs17255332" "14_59611735" "rev" 0.295 3.3519
"142" "rs17351899" "4_83675034" "rev" -0.263 2.7433
"143" "rs17366421" "14_31278357" "rev" 0.147 1.0682
"144" "rs17408826" "1_4379209" "fwd" -0.258 2.642
"145" "rs17488597" "8_16816092" "fwd" 0.34 4.3466
"146" "rs17488597" "8_16816092" "rev" 0.335 4.2362
"147" "rs17506556" "7_7362292" "fwd" 0.147 1.0705
"148" "rs17602" "16_2025678" "fwd" 0.314 3.7638
"149" "rs17602" "16_2025678" "rev" 0.34 4.3551
"150" "rs17602" "16_2025678" "rev" -0.298 3.406
"151" "rs17602" "16_2025678" "fwd" 0.286 3.1781
"152" "rs17677007" "12_96387829" "fwd" 0.327 4.0466
"153" "rs17699162" "1_199671705" "fwd" 0.234 2.245
"154" "rs177299" "12_47693681" "fwd" -0.268 2.838
"155" "rs177299" "12_47693681" "rev" -0.315 3.7675
"156" "rs17759495" "20_16724500" "rev" -0.295 3.3612
"157" "rs17769811" "12_3679554" "fwd" 0.282 3.1006
"158" "rs17773440" "14_56972351" "rev" 0.316 3.7971
"159" "rs17782052" "14_74086415" "fwd" 0.295 3.3517
"160" "rs17782052" "14_74086415" "rev" 0.291 3.2814
"161" "rs17801445" "7_43474715" "rev" 0.337 4.2688
"162" "rs17801445" "7_43474715" "fwd" 0.321 3.9036
"163" "rs17805181" "20_59703896" "fwd" 0.315 3.7746
"164" "rs17805181" "20_59703896" "rev" -0.344 4.4479
"165" "rs17805181" "20_59703896" "rev" -0.351 4.6152
"166" "rs17809941" "7_77837900" "rev" -0.308 3.6264
"167" "rs17822214" "22_31479071" "rev" 0.258 2.6403
"168" "rs1864060" "6_39181938" "fwd" -0.285 3.1527
"169" "rs1953463" "14_44797800" "fwd" -0.27 2.8664
"170" "rs1978694" "11_110929313" "rev" 0.222 2.0541
"171" "rs221299" "7_157366855" "fwd" -0.298 3.4211
"172" "rs2265803" "9_96528453" "fwd" 0.304 3.5444
"173" "rs2265803" "9_96528453" "rev" 0.304 3.5471
"174" "rs2278384" "5_150972611" "fwd" -0.262 2.7243
"175" "rs2279927" "10_71008656" "rev" -0.247 2.4586
"176" "rs2285212" "1_169461481" "fwd" -0.248 2.4758
"177" "rs2285212" "1_169461481" "rev" -0.293 3.3053
"178" "rs2285212" "1_169461481" "rev" 0.293 3.3053
"179" "rs2446422" "15_51634486" "rev" 0.309 3.642
"180" "rs2511736" "8_103563175" "rev" 0.283 3.1049
"181" "rs2511736" "8_103563175" "rev" 0.286 3.182
"182" "rs2675568" "12_50251551" "rev" 0.243 2.3876
"183" "rs2675568" "12_50251551" "rev" 0.282 3.0937
"184" "rs2675568" "12_50251551" "fwd" -0.243 2.3815
"185" "rs2675568" "12_50251551" "rev" -0.242 2.3702
"186" "rs269686" "1_166508340" "rev" 0.294 3.3292
"187" "rs2730078" "15_84321429" "fwd" 0.271 2.8766
"188" "rs28735826" "8_87812242" "fwd" 0.241 2.354
"189" "rs2924145" "3_11031209" "rev" 0.268 2.8236
"190" "rs3026838" "1_21639625" "rev" 0.341 4.382
"191" "rs3026838" "1_21639625" "fwd" 0.329 4.0934
"192" "rs3131899" "9_97025979" "rev" 0.282 3.0942
"193" "rs3131899" "9_97025979" "fwd" 0.299 3.4362
"194" "rs338916" "1_58869885" "fwd" -0.277 3.0043
"195" "rs34070912" "2_240392315" "rev" -0.316 3.8076
"196" "rs34070912" "2_240392315" "rev" 0.342 4.3939
"197" "rs34215541" "9_114666493" "rev" -0.309 3.6471
"198" "rs342304" "7_106380004" "rev" -0.303 3.5128
"199" "rs342304" "7_106380004" "rev" -0.299 3.4246
"200" "rs342304" "7_106380004" "fwd" -0.288 3.2138
"201" "rs342304" "7_106380004" "fwd" -0.283 3.1127
"202" "rs342304" "7_106380004" "fwd" -0.289 3.2388
"203" "rs342304" "7_106380004" "fwd" -0.287 3.1893
"204" "rs34356262" "3_29141911" "rev" -0.391 5.6816
"205" "rs34383794" "2_180305369" "rev" 0.267 2.8119
"206" "rs34383794" "2_180305369" "fwd" 0.268 2.8205
"207" "rs34644808" "15_85458581" "fwd" 0.279 3.0284
"208" "rs34733120" "11_102500783" "fwd" 0.243 2.3964
"209" "rs34818938" "11_44889570" "fwd" 0.298 3.4164
"210" "rs34818938" "11_44889570" "fwd" -0.278 3.0205
"211" "rs34887664" "2_218380933" "fwd" -0.269 2.8414
"212" "rs34887664" "2_218380933" "fwd" -0.265 2.7659
"213" "rs34946248" "14_56230479" "fwd" 0.237 2.2838
"214" "rs35011366" "22_50055154" "rev" -0.258 2.6452
"215" "rs35011366" "22_50055154" "rev" -0.314 3.7516
"216" "rs35011366" "22_50055154" "fwd" 0.306 3.5906
"217" "rs35019271" "9_128956421" "fwd" -0.285 3.1589
"218" "rs35250181" "15_86242662" "fwd" -0.253 2.556
"219" "rs35250181" "15_86242662" "rev" -0.263 2.7306
"220" "rs35383254" "9_96228897" "fwd" 0.281 3.076
"221" "rs35383254" "9_96228897" "rev" 0.281 3.076
"222" "rs35396138" "22_28017831" "fwd" 0.309 3.641
"223" "rs35440908" "4_114317018" "fwd" 0.279 3.0397
"224" "rs35440908" "4_114317018" "rev" 0.269 2.8457
"225" "rs35477081" "1_161234316" "fwd" -0.267 2.8122
"226" "rs35477081" "1_161234316" "fwd" 0.312 3.7114
"227" "rs35477081" "1_161234316" "rev" -0.315 3.7678
"228" "rs35620439" "1_161349491" "fwd" -0.229 2.159
"229" "rs35681058" "12_54320204" "fwd" -0.313 3.7404
"230" "rs35787613" "14_56342070" "rev" 0.266 2.7855
"231" "rs35818838" "2_180296324" "rev" -0.277 3.0059
"232" "rs35918463" "14_77612111" "rev" -0.286 3.1754
"233" "rs35918463" "14_77612111" "fwd" -0.273 2.9294
"234" "rs35918463" "14_77612111" "rev" -0.28 3.0463
"235" "rs36028293" "14_68976059" "rev" 0.293 3.3021
"236" "rs36124638" "11_11586257" "fwd" 0.291 3.2768
"237" "rs36124638" "11_11586257" "fwd" 0.294 3.3346
"238" "rs36124638" "11_11586257" "rev" 0.291 3.2771
"239" "rs3738007" "1_32042421" "rev" -0.265 2.7694
"240" "rs3750859" "10_3801549" "rev" -0.353 4.6675
"241" "rs3806432" "1_40138618" "fwd" -0.278 3.0085
"242" "rs3806432" "1_40138618" "fwd" -0.256 2.6066
"243" "rs3820615" "1_40097518" "fwd" 0.284 3.1264
"244" "rs3820615" "1_40097518" "rev" 0.278 3.0228
"245" "rs387946" "12_70875898" "fwd" -0.291 3.2737
"246" "rs3957207" "8_133400884" "fwd" -0.286 3.1807
"247" "rs41266923" "1_160617314" "fwd" -0.299 3.4412
"248" "rs41277956" "10_71648002" "fwd" 0.313 3.7378
"249" "rs41277956" "10_71648002" "fwd" 0.334 4.2096
"250" "rs41277956" "10_71648002" "fwd" 0.337 4.2807
"251" "rs41277956" "10_71648002" "fwd" 0.334 4.2049
"252" "rs41277956" "10_71648002" "fwd" 0.287 3.1925
"253" "rs41277956" "10_71648002" "rev" 0.288 3.2187
"254" "rs41277956" "10_71648002" "rev" 0.283 3.104
"255" "rs41277956" "10_71648002" "rev" 0.267 2.8163
"256" "rs41277956" "10_71648002" "fwd" 0.281 3.0769
"257" "rs41277956" "10_71648002" "fwd" 0.33 4.101
"258" "rs41277956" "10_71648002" "fwd" 0.323 3.9484
"259" "rs41277956" "10_71648002" "rev" 0.284 3.1413
"260" "rs41277956" "10_71648002" "rev" 0.27 2.8702
"261" "rs41277956" "10_71648002" "rev" 0.282 3.0945
"262" "rs4255201" "9_96163337" "rev" -0.275 2.9592
"263" "rs4271649" "17_7963164" "rev" 0.274 2.9477
"264" "rs4271649" "17_7963164" "fwd" 0.274 2.9488
"265" "rs4287276" "10_113177770" "fwd" -0.27 2.8697
"266" "rs4412782" "11_110842258" "rev" 0.317 3.8176
"267" "rs4412782" "11_110842258" "fwd" 0.319 3.8729
"268" "rs4418560" "1_39387607" "rev" -0.249 2.4907
"269" "rs4503455" "10_134327441" "fwd" -0.27 2.8579
"270" "rs45538742" "9_134366109" "fwd" 0.321 3.9178
"271" "rs4559081" "6_33555348" "fwd" -0.248 2.4745
"272" "rs4629908" "8_66132433" "rev" 0.366 5.0038
"273" "rs4629908" "8_66132433" "fwd" 0.372 5.1492
"274" "rs4791364" "17_9723893" "rev" 0.283 3.1103
"275" "rs4815617" "20_3827309" "fwd" -0.265 2.7765
"276" "rs4819573" "22_17804834" "rev" 0.268 2.8336
"277" "rs4819573" "22_17804834" "fwd" 0.268 2.8336
"278" "rs4834329" "4_114280828" "fwd" -0.298 3.4101
"279" "rs4849707" "2_119292182" "fwd" 0.147 1.0712
"280" "rs4858223" "3_20581149" "rev" -0.257 2.6242
"281" "rs4900484" "14_101597098" "rev" -0.215 1.9522
"282" "rs4909991" "11_11363558" "rev" -0.266 2.784
"283" "rs4912765" "5_141045076" "rev" 0.254 2.5749
"284" "rs4916535" "3_196373652" "fwd" 0.265 2.7786
"285" "rs511507" "6_52200188" "rev" -0.303 3.5215
"286" "rs511507" "6_52200188" "rev" 0.293 3.315
"287" "rs530562" "6_82968705" "rev" 0.222 2.054
"288" "rs530562" "6_82968705" "fwd" 0.222 2.0468
"289" "rs55742616" "1_159780821" "rev" -0.29 3.2421
"290" "rs55755326" "12_53079697" "fwd" -0.314 3.755
"291" "rs55780953" "17_4500108" "rev" 0.329 4.088
"292" "rs55780953" "17_4500108" "fwd" -0.361 4.8588
"293" "rs55793734" "3_24807117" "fwd" 0.32 3.8785
"294" "rs55803162" "19_33751639" "rev" -0.29 3.2468
"295" "rs55851988" "12_48709479" "fwd" -0.271 2.8779
"296" "rs55912738" "4_38288628" "rev" 0.273 2.9182
"297" "rs55987116" "20_44957341" "rev" 0.3 3.4517
"298" "rs55987116" "20_44957341" "rev" -0.282 3.0848
"299" "rs55987116" "20_44957341" "fwd" 0.265 2.7684
"300" "rs56082161" "14_69216424" "rev" 0.147 1.0729
"301" "rs56110823" "7_43565576" "fwd" 0.282 3.1013
"302" "rs56112510" "1_198427612" "rev" -0.304 3.5445
"303" "rs56159851" "11_116271858" "rev" 0.266 2.797
"304" "rs56278960" "9_34073414" "fwd" -0.209 1.8504
"305" "rs56346646" "5_151915603" "fwd" -0.267 2.8104
"306" "rs56364208" "2_239015745" "fwd" -0.279 3.0359
"307" "rs56364208" "2_239015745" "rev" -0.29 3.2612
"308" "rs56364208" "2_239015745" "rev" -0.327 4.0543
"309" "rs56364208" "2_239015745" "rev" -0.311 3.688
"310" "rs56364208" "2_239015745" "fwd" -0.32 3.8918
"311" "rs56394526" "8_103531285" "rev" 0.355 4.7077
"312" "rs57266556" "6_43798981" "rev" -0.258 2.6482
"313" "rs57266556" "6_43798981" "rev" 0.258 2.6482
"314" "rs57469876" "2_180033206" "fwd" 0.265 2.7695
"315" "rs58727146" "6_53053629" "rev" 0.203 1.7725
"316" "rs6071505" "20_59702706" "rev" 0.276 2.9881
"317" "rs6090461" "20_62211185" "fwd" -0.282 3.0988
"318" "rs6124783" "20_44959929" "fwd" -0.275 2.9653
"319" "rs6124783" "20_44959929" "rev" 0.314 3.7524
"320" "rs6124783" "20_44959929" "rev" -0.322 3.9274
"321" "rs6124783" "20_44959929" "fwd" -0.338 4.3002
"322" "rs61779763" "1_40157554" "fwd" 0.286 3.18
"323" "rs61779763" "1_40157554" "rev" 0.28 3.0537
"324" "rs61781599" "1_21661691" "fwd" 0.246 2.4324
"325" "rs61823167" "1_159799339" "fwd" 0.334 4.1943
"326" "rs61840217" "10_34529170" "fwd" -0.298 3.4207
"327" "rs61857181" "10_69953528" "fwd" -0.236 2.2738
"328" "rs61870297" "11_11457943" "fwd" -0.282 3.1023
"329" "rs61881365" "11_44604351" "rev" -0.371 5.1377
"330" "rs61883262" "11_20984515" "rev" 0.148 1.0749
"331" "rs61883262" "11_20984515" "rev" 0.148 1.0749
"332" "rs61900331" "11_110852008" "fwd" -0.318 3.8426
"333" "rs61977349" "14_93002605" "rev" 0.278 3.0221
"334" "rs61977393" "14_70450721" "rev" 0.25 2.5137
"335" "rs61977393" "14_70450721" "fwd" 0.251 2.5168
"336" "rs61979368" "14_76815133" "rev" 0.297 3.4022
"337" "rs61984497" "14_59801714" "fwd" -0.21 1.866
"338" "rs61986335" "14_73325551" "rev" 0.148 1.0794
"339" "rs61987827" "14_56969015" "fwd" -0.388 5.5753
"340" "rs61987827" "14_56969015" "rev" 0.328 4.0601
"341" "rs61987827" "14_56969015" "rev" -0.264 2.7539
"342" "rs61987827" "14_56969015" "rev" -0.268 2.8279
"343" "rs61987827" "14_56969015" "rev" -0.292 3.2838
"344" "rs61987827" "14_56969015" "rev" 0.26 2.6905
"345" "rs62116182" "2_11818963" "fwd" -0.294 3.3419
"346" "rs62116182" "2_11818963" "rev" -0.295 3.3489
"347" "rs62228507" "3_25070298" "rev" 0.289 3.236
"348" "rs62295337" "4_38279838" "fwd" -0.315 3.7823
"349" "rs62295338" "4_38280079" "rev" -0.31 3.6564
"350" "rs62322369" "4_122400256" "rev" 0.217 1.9754
"351" "rs623264" "19_5473120" "fwd" -0.235 2.2524
"352" "rs62410909" "4_26084188" "rev" -0.305 3.5539
"353" "rs62432853" "7_7856297" "rev" -0.296 3.3817
"354" "rs62501006" "8_53111809" "fwd" -0.252 2.5365
"355" "rs62575086" "9_115683920" "rev" 0.323 3.9539
"356" "rs627875" "12_53086028" "rev" -0.335 4.2334
"357" "rs6442585" "3_16253303" "rev" 0.273 2.9266
"358" "rs6442585" "3_16253303" "fwd" 0.273 2.9216
"359" "rs6576412" "15_25407474" "rev" 0.296 3.3757
"360" "rs6722837" "2_239835149" "rev" 0.268 2.8209
"361" "rs67577009" "14_92864223" "rev" 0.314 3.7521
"362" "rs67921963" "7_50561525" "rev" -0.267 2.8171
"363" "rs67921963" "7_50561525" "fwd" -0.267 2.8154
"364" "rs67921963" "7_50561525" "rev" -0.279 3.0395
"365" "rs67921963" "7_50561525" "fwd" -0.28 3.0537
"366" "rs7108185" "11_73091484" "fwd" 0.27 2.8637
"367" "rs7108185" "11_73091484" "rev" -0.256 2.6128
"368" "rs7108185" "11_73091484" "fwd" -0.253 2.5598
"369" "rs71480860" "10_95054857" "fwd" 0.235 2.2514
"370" "rs7148443" "14_101356269" "fwd" 0.3 3.4574
"371" "rs71507695" "9_103479319" "rev" 0.242 2.3653
"372" "rs7152173" "14_52072912" "fwd" 0.295 3.3534
"373" "rs71582000" "7_128780057" "rev" 0.266 2.788
"374" "rs71582000" "7_128780057" "fwd" -0.251 2.5252
"375" "rs72623112" "2_161079514" "rev" -0.313 3.7232
"376" "rs72623112" "2_161079514" "rev" 0.313 3.7232
"377" "rs72623112" "2_161079514" "rev" 0.276 2.9873
"378" "rs72623112" "2_161079514" "rev" 0.253 2.5668
"379" "rs72623112" "2_161079514" "fwd" -0.263 2.7405
"380" "rs72623112" "2_161079514" "rev" 0.271 2.8835
"381" "rs72623112" "2_161079514" "rev" -0.247 2.4536
"382" "rs72623112" "2_161079514" "fwd" -0.277 2.9995
"383" "rs72623112" "2_161079514" "fwd" 0.271 2.8924
"384" "rs72623112" "2_161079514" "rev" -0.253 2.5529
"385" "rs72638735" "10_7043252" "fwd" 0.369 5.0752
"386" "rs72662021" "1_34061741" "rev" -0.253 2.5648
"387" "rs72662021" "1_34061741" "fwd" -0.252 2.5433
"388" "rs72663570" "1_40095534" "fwd" 0.274 2.9449
"389" "rs72668078" "14_34522365" "fwd" 0.29 3.244
"390" "rs72668078" "14_34522365" "rev" 0.274 2.9363
"391" "rs72669865" "1_58917754" "rev" -0.261 2.7019
"392" "rs72691517" "4_184476283" "rev" 0.25 2.5063
"393" "rs72691517" "4_184476283" "fwd" 0.25 2.5013
"394" "rs72691995" "9_4556167" "fwd" 0.335 4.228
"395" "rs72691995" "9_4556167" "rev" 0.326 4.0273
"396" "rs72721059" "8_133423128" "rev" 0.327 4.0418
"397" "rs72731587" "14_69314956" "rev" -0.306 3.5872
"398" "rs72731861" "14_70667927" "rev" -0.274 2.9358
"399" "rs72737172" "9_34696707" "rev" -0.287 3.2005
"400" "rs72745568" "15_57984780" "rev" 0.259 2.6685
"401" "rs72751887" "5_44089912" "rev" -0.215 1.945
"402" "rs72762215" "5_54186548" "rev" -0.244 2.4092
"403" "rs72791622" "16_57553927" "fwd" -0.276 2.971
"404" "rs72791622" "16_57553927" "fwd" -0.26 2.6881
"405" "rs72791622" "16_57553927" "fwd" -0.278 3.0078
"406" "rs72791622" "16_57553927" "fwd" -0.273 2.9276
"407" "rs72791622" "16_57553927" "rev" -0.331 4.1379
"408" "rs72791622" "16_57553927" "rev" 0.348 4.5436
"409" "rs72791622" "16_57553927" "fwd" 0.332 4.1561
"410" "rs72791622" "16_57553927" "fwd" -0.354 4.6803
"411" "rs72791622" "16_57553927" "rev" -0.263 2.7333
"412" "rs72791622" "16_57553927" "fwd" -0.284 3.1317
"413" "rs72791622" "16_57553927" "rev" -0.235 2.2509
"414" "rs72791622" "16_57553927" "fwd" -0.333 4.1887
"415" "rs72791622" "16_57553927" "fwd" -0.31 3.6649
"416" "rs72791642" "16_57576287" "rev" -0.275 2.9552
"417" "rs72801223" "16_76584525" "fwd" -0.277 3.0048
"418" "rs72826453" "6_18921942" "rev" 0.302 3.493
"419" "rs72828351" "5_149064264" "rev" -0.325 3.9983
"420" "rs72834486" "2_119537308" "rev" -0.266 2.7964
"421" "rs72865526" "6_43903762" "fwd" 0.314 3.7435
"422" "rs72868759" "11_11780796" "fwd" 0.247 2.4541
"423" "rs72873652" "6_56198939" "fwd" 0.268 2.8272
"424" "rs72901717" "17_76234281" "rev" 0.147 1.0714
"425" "rs72901717" "17_76234281" "fwd" 0.147 1.0714
"426" "rs72911823" "11_56648988" "fwd" 0.29 3.2584
"427" "rs72911823" "11_56648988" "fwd" -0.257 2.6248
"428" "rs72933584" "18_60707788" "fwd" 0.269 2.853
"429" "rs72955119" "2_180159188" "rev" 0.278 3.0174
"430" "rs73026322" "11_117818505" "rev" -0.265 2.7711
"431" "rs73026761" "19_31048593" "fwd" -0.318 3.8387
"432" "rs73047514" "7_7943513" "fwd" -0.314 3.7593
"433" "rs73048430" "3_25185220" "rev" 0.33 4.1035
"434" "rs73049706" "3_25327020" "fwd" -0.278 3.0236
"435" "rs73082598" "20_3840831" "rev" 0.289 3.2273
"436" "rs73082598" "20_3840831" "fwd" 0.303 3.5218
"437" "rs73082598" "20_3840831" "rev" 0.24 2.3434
"438" "rs73097129" "12_52802682" "rev" 0.278 3.0234
"439" "rs73102533" "7_36072464" "rev" -0.238 2.3101
"440" "rs73104021" "12_54101479" "fwd" 0.147 1.0706
"441" "rs73109412" "12_47938538" "rev" -0.258 2.6454
"442" "rs73187863" "3_119101039" "rev" -0.291 3.2707
"443" "rs73190678" "12_109790566" "fwd" -0.254 2.577
"444" "rs73212635" "8_17783013" "rev" 0.294 3.3243
"445" "rs73228798" "7_128777997" "fwd" 0.261 2.6941
