"rsID" "PosID" "Direction" "Spearman_rho" "-log10(p)"
"220" "rs61929582" "12_53037871" "fwd" -0.222 2.2612
"221" "rs61929582" "12_53037871" "rev" -0.224 2.2875
"222" "rs61946160" "12_129255597" "fwd" 0.278 3.3288
"223" "rs61946160" "12_129255597" "rev" 0.281 3.4019
"224" "rs61977429" "14_70570203" "fwd" -0.262 3.0096
"225" "rs61986335" "14_73325551" "fwd" -0.14 1.08
"226" "rs62021184" "15_85541709" "rev" 0.278 3.3321
"227" "rs62021184" "15_85541709" "fwd" 0.278 3.332
"228" "rs62275836" "3_156698287" "rev" 0.25 2.7764
"229" "rs62333822" "4_169425336" "fwd" -0.237 2.5284
"230" "rs62405882" "6_52437667" "fwd" -0.254 2.8553
"231" "rs62428597" "6_133490248" "fwd" -0.253 2.8337
"232" "rs62498904" "8_21166343" "rev" -0.28 3.3701
"233" "rs62524037" "8_103752070" "fwd" 0.247 2.7157
"234" "rs62558383" "9_92154055" "fwd" -0.28 3.3725
"235" "rs62558383" "9_92154055" "rev" -0.22 2.2236
"236" "rs62575252" "9_115458503" "rev" -0.298 3.7712
"237" "rs6546370" "2_68524491" "fwd" -0.257 2.9038
"238" "rs657102" "12_52964417" "rev" 0.244 2.6615
"239" "rs657102" "12_52964417" "fwd" 0.263 3.0286
"240" "rs657102" "12_52964417" "fwd" -0.272 3.2063
"241" "rs657102" "12_52964417" "fwd" -0.22 2.2298
"242" "rs6682715" "1_115811051" "fwd" -0.213 2.1134
"243" "rs6682715" "1_115811051" "fwd" -0.276 3.2884
"244" "rs6722837" "2_239835149" "rev" 0.278 3.3342
"245" "rs6761440" "2_112959193" "rev" -0.266 3.0941
"246" "rs67881993" "12_121565950" "fwd" 0.261 2.993
"247" "rs67881993" "12_121565950" "fwd" -0.269 3.1385
"248" "rs7032247" "9_115223361" "rev" 0.267 3.115
"249" "rs7032247" "9_115223361" "rev" 0.285 3.4973
"250" "rs7108185" "11_73091484" "rev" -0.256 2.8821
"251" "rs7108185" "11_73091484" "fwd" -0.242 2.6216
"252" "rs7108185" "11_73091484" "fwd" 0.286 3.4997
"253" "rs71327796" "3_127070903" "fwd" -0.255 2.8711
"254" "rs71478976" "11_11692390" "fwd" 0.298 3.7754
"255" "rs71478976" "11_11692390" "rev" 0.305 3.9484
"256" "rs71501695" "9_114669589" "fwd" -0.294 3.6822
"257" "rs71647959" "1_34387980" "rev" -0.263 3.0217
"258" "rs7180244" "15_67451774" "rev" 0.279 3.3619
"259" "rs72663570" "1_40095534" "rev" -0.285 3.4921
"260" "rs72663570" "1_40095534" "fwd" -0.328 4.4975
"261" "rs72663570" "1_40095534" "fwd" 0.343 4.8979
"262" "rs72663570" "1_40095534" "rev" 0.222 2.2624
"263" "rs72665235" "1_40157643" "fwd" -0.261 2.9839
"264" "rs72708884" "1_160643793" "rev" 0.213 2.1138
"265" "rs72732119" "4_152786941" "rev" 0.139 1.0751
"266" "rs72735420" "1_199487477" "rev" 0.238 2.548
"267" "rs72775956" "10_11935759" "fwd" 0.303 3.8962
"268" "rs72775983" "10_11955345" "fwd" 0.189 1.734
"269" "rs72775983" "10_11955345" "rev" 0.189 1.734
"270" "rs72792472" "2_29669535" "fwd" -0.267 3.1092
"271" "rs72792472" "2_29669535" "rev" -0.348 5.0504
"272" "rs72792472" "2_29669535" "rev" -0.274 3.2412
"273" "rs72801112" "10_71394926" "fwd" -0.273 3.2273
"274" "rs72802408" "2_46907248" "fwd" -0.276 3.3034
"275" "rs72908270" "11_32277178" "rev" 0.234 2.4794
"276" "rs72959617" "6_74993963" "fwd" -0.262 2.9944
"277" "rs73003630" "18_77390420" "fwd" 0.27 3.1655
"278" "rs73042617" "7_1799284" "rev" 0.279 3.3639
"279" "rs73073022" "12_26063541" "fwd" 0.253 2.8299
"280" "rs73076882" "20_3192561" "rev" -0.26 2.9666
"281" "rs73076882" "20_3192561" "rev" -0.275 3.2688
"282" "rs73082598" "20_3840831" "rev" 0.246 2.6847
"283" "rs73094689" "12_53097263" "fwd" 0.3 3.8338
"284" "rs73097129" "12_52802682" "fwd" 0.248 2.7241
"285" "rs73104021" "12_54101479" "fwd" 0.261 2.9818
"286" "rs73104021" "12_54101479" "rev" -0.277 3.313
"287" "rs73156888" "13_20869172" "fwd" 0.285 3.4898
"288" "rs73202647" "8_12604438" "rev" 0.245 2.6667
"289" "rs73207099" "12_113566481" "fwd" -0.253 2.8189
"290" "rs73207099" "12_113566481" "fwd" -0.323 4.3821
"291" "rs73232803" "4_17354402" "rev" -0.278 3.3379
"292" "rs74315856" "20_3744413" "rev" 0.277 3.3239
"293" "rs74446496" "5_141390467" "fwd" -0.253 2.8244
"294" "rs74488150" "16_4006384" "fwd" 0.252 2.807
"295" "rs74488150" "16_4006384" "rev" 0.253 2.8178
"296" "rs74838659" "5_149790612" "rev" -0.23 2.3982
"297" "rs74838659" "5_149790612" "fwd" -0.244 2.6588
"298" "rs74884588" "1_40177498" "fwd" 0.244 2.6562
"299" "rs74990329" "1_169232317" "rev" -0.286 3.5106
"300" "rs74990329" "1_169232317" "fwd" -0.28 3.3746
"301" "rs75081822" "16_3439411" "fwd" 0.139 1.0712
"302" "rs75081822" "16_3439411" "rev" 0.139 1.0712
"303" "rs75081822" "16_3439411" "rev" 0.139 1.0712
"304" "rs75081822" "16_3439411" "fwd" 0.139 1.0712
"305" "rs75128595" "12_54297596" "fwd" -0.28 3.3897
"306" "rs75128595" "12_54297596" "rev" -0.27 3.1605
"307" "rs75169503" "3_46852457" "fwd" -0.226 2.3363
"308" "rs75249449" "2_29658570" "fwd" -0.343 4.9075
"309" "rs75249449" "2_29658570" "rev" -0.235 2.482
"310" "rs75249449" "2_29658570" "rev" -0.246 2.6854
"311" "rs75249449" "2_29658570" "rev" -0.299 3.7919
"312" "rs75249449" "2_29658570" "rev" -0.292 3.6426
"313" "rs75249449" "2_29658570" "rev" -0.3 3.8358
"314" "rs75249449" "2_29658570" "rev" -0.315 4.1846
"315" "rs75249449" "2_29658570" "rev" -0.337 4.7417
"316" "rs75249449" "2_29658570" "rev" -0.32 4.3063
"317" "rs75335906" "14_34537970" "rev" -0.316 4.2142
"318" "rs75335906" "14_34537970" "fwd" -0.322 4.3661
"319" "rs75335906" "14_34537970" "fwd" 0.329 4.5336
"320" "rs75445928" "20_56012197" "rev" -0.289 3.5867
"321" "rs75718129" "20_4313272" "fwd" -0.261 2.9811
"322" "rs75730330" "10_36529085" "fwd" -0.263 3.032
"323" "rs75730330" "10_36529085" "rev" -0.257 2.8969
"324" "rs75775593" "9_96330893" "rev" -0.265 3.0678
"325" "rs75789685" "12_104138450" "fwd" -0.263 3.0197
"326" "rs75789685" "12_104138450" "rev" -0.25 2.7769
"327" "rs76121883" "5_163524060" "fwd" 0.258 2.9235
"328" "rs76358659" "9_91921455" "rev" 0.259 2.9456
"329" "rs76358659" "9_91921455" "fwd" 0.278 3.3391
"330" "rs76361738" "6_41706835" "fwd" 0.272 3.2102
"331" "rs76361738" "6_41706835" "rev" 0.272 3.2014
"332" "rs76377792" "11_4710451" "rev" -0.301 3.8432
"333" "rs76377792" "11_4710451" "fwd" -0.322 4.3611
"334" "rs76377792" "11_4710451" "fwd" 0.306 3.975
"335" "rs76419133" "4_38298381" "fwd" 0.255 2.8747
"336" "rs76419133" "4_38298381" "fwd" 0.294 3.6976
"337" "rs76481424" "5_148785898" "rev" -0.236 2.5011
"338" "rs76481424" "5_148785898" "fwd" -0.234 2.4648
"339" "rs76508838" "2_98838505" "rev" -0.26 2.957
"340" "rs76632102" "7_43517655" "rev" 0.296 3.7362
"341" "rs76712541" "2_218235347" "rev" -0.259 2.9398
"342" "rs76712541" "2_218235347" "fwd" 0.299 3.8086
"343" "rs76760684" "12_54175677" "fwd" -0.206 1.9961
"344" "rs76914116" "1_219982829" "rev" -0.275 3.2663
"345" "rs76956887" "20_61814080" "rev" -0.302 3.8626
"346" "rs77081106" "1_230777072" "rev" -0.31 4.0619
"347" "rs77357454" "6_70981827" "rev" 0.257 2.911
"348" "rs77451097" "19_5538486" "fwd" -0.256 2.8772
"349" "rs77933805" "1_15580230" "rev" -0.273 3.2224
"350" "rs78133788" "2_120005059" "rev" 0.27 3.1711
"351" "rs78191428" "5_178701825" "rev" 0.292 3.6373
"352" "rs78191428" "5_178701825" "fwd" 0.286 3.5007
"353" "rs78282770" "5_179483686" "rev" 0.237 2.5177
"354" "rs78282770" "5_179483686" "fwd" 0.236 2.5035
"355" "rs78306789" "6_33457133" "rev" 0.189 1.7348
"356" "rs78414339" "3_150651936" "fwd" 0.291 3.6216
"357" "rs78446054" "20_3580391" "fwd" 0.279 3.347
"358" "rs78461346" "17_80524184" "rev" -0.295 3.7208
"359" "rs78574087" "15_70441886" "rev" 0.251 2.7937
"360" "rs78574087" "15_70441886" "rev" 0.248 2.7337
"361" "rs78663081" "8_17291971" "rev" 0.341 4.8405
"362" "rs78755594" "1_209093259" "fwd" -0.253 2.8207
"363" "rs78792144" "9_96346007" "rev" 0.252 2.7972
"364" "rs78792144" "9_96346007" "rev" -0.254 2.8428
"365" "rs78792144" "9_96346007" "fwd" -0.254 2.8409
"366" "rs78792144" "9_96346007" "fwd" 0.254 2.8409
"367" "rs78816659" "9_96337423" "fwd" -0.202 1.9263
"368" "rs79120684" "1_37607956" "rev" -0.31 4.0595
"369" "rs79120684" "1_37607956" "fwd" -0.343 4.8969
"370" "rs79120684" "1_37607956" "fwd" 0.323 4.3877
"371" "rs79169887" "10_28152057" "fwd" 0.257 2.9129
"372" "rs79265573" "4_122456804" "fwd" -0.204 1.956
"373" "rs79481872" "1_41352348" "fwd" 0.271 3.1963
"374" "rs79481872" "1_41352348" "rev" 0.272 3.1994
"375" "rs79481872" "1_41352348" "fwd" -0.274 3.2453
"376" "rs79481872" "1_41352348" "rev" -0.293 3.659
"377" "rs79481872" "1_41352348" "fwd" 0.266 3.0764
"378" "rs79481872" "1_41352348" "fwd" -0.269 3.1482
"379" "rs79481872" "1_41352348" "rev" 0.22 2.2327
"380" "rs79635406" "11_85350113" "rev" -0.321 4.3436
"381" "rs7965538" "12_113341598" "fwd" 0.326 4.4605
"382" "rs7965538" "12_113341598" "fwd" 0.305 3.9327
"383" "rs7965538" "12_113341598" "fwd" 0.327 4.4901
"384" "rs7965538" "12_113341598" "fwd" 0.332 4.6239
"385" "rs7965538" "12_113341598" "rev" 0.281 3.4111
"386" "rs79720602" "13_20869770" "fwd" 0.332 4.6025
"387" "rs79800893" "14_45731858" "rev" 0.304 3.9109
"388" "rs79939979" "3_32353022" "fwd" -0.269 3.1382
"389" "rs79965860" "16_56577406" "fwd" 0.242 2.6112
"390" "rs79982683" "11_72281941" "rev" -0.25 2.7619
"391" "rs80075573" "6_43924058" "rev" 0.264 3.0459
"392" "rs80075573" "6_43924058" "fwd" 0.264 3.0503
"393" "rs80081736" "2_119129489" "rev" 0.268 3.1209
"394" "rs80306868" "14_22103201" "rev" 0.14 1.0854
"395" "rs80306868" "14_22103201" "fwd" 0.14 1.0854
"396" "rs80345334" "10_12973927" "fwd" -0.291 3.6142
"397" "rs848648" "7_101274653" "fwd" -0.224 2.2973
"398" "rs848648" "7_101274653" "fwd" -0.208 2.0274
"399" "rs855131" "12_47716075" "rev" 0.305 3.9386
"400" "rs855131" "12_47716075" "rev" -0.324 4.4123
"401" "rs855131" "12_47716075" "fwd" -0.307 3.988
"402" "rs855131" "12_47716075" "fwd" 0.306 3.9663
"403" "rs874766" "12_113948160" "fwd" 0.3 3.8284
"404" "rs926308" "22_32781422" "fwd" -0.226 2.3354
"405" "rs9604969" "22_19514013" "rev" -0.242 2.6108
"406" "rs973679" "19_47061564" "fwd" -0.308 4.0236
