intron_cluster	variant_id	TISSUE_ID	adj_p	qval	symbol
12:113355505:113357292:clu_55151_NA	12_113360786_T_C_b37	ESPGEJ	9.5825e-25	1.75997338852814e-21	OAS1
4:169344925:169348221:clu_11006_NA	4_169357339_G_A_b37	THYROID	9.97761e-25	3.14266567325167e-22	DDX60L
12:113355505:113356402:clu_55151_NA	12_113357209_G_A_b37	LCL	2.68112e-23	1.4218884238e-18	OAS1
12:113355505:113357292:clu_55151_NA	12_113357209_G_A_b37	LCL	2.19397e-22	9.3082906999e-18	OAS1
12:113355505:113357194:clu_55151_NA	12_113357209_G_A_b37	ADRNLG	2.68602e-22	6.81458665559524e-19	OAS1
12:113355505:113357292:clu_55151_NA	12_113360786_T_C_b37	SPLEEN	4.27708e-22	1.91013042143158e-18	OAS1
13:28015386:28019225:clu_22821_NA	13_28015387_C_G_b37	LUNG	4.46974e-22	1.70077415298655e-19	MTIF3
4:169344925:169348221:clu_11006_NA	4_169347649_C_G_b37	NERVET	8.47953e-22	2.73580589696578e-19	DDX60L
11:428199:428358:clu_88170_NA	11_428385_A_G_b37	ESPMCS	1.0105e-21	4.56351165227034e-19	ANO9
1:38023349:38027158:clu_40826_NA	1_38023822_G_A_b37	NERVET	3.27877e-21	1.02435486862297e-18	DNALI1
12:113355505:113357194:clu_55151_NA	12_113357209_G_A_b37	LCL	1.27944e-20	2.46738259309091e-16	OAS1
12:113355505:113357194:clu_55151_NA	12_113360786_T_C_b37	PNCREAS	1.43868e-20	2.31206230136364e-17	OAS1
3:128532380:128532438:clu_86045_NA	3_128564604_A_T_b37	SKINNS	4.45497e-20	1.60585960661852e-17	RAB7A
4:169344925:169348221:clu_11006_NA	4_169345005_T_C_b37	ADPSBQ	5.56677e-20	1.56617825437003e-17	DDX60L
4:169344925:169347922:clu_11006_NA	4_169345005_T_C_b37	THYROID	1.28699e-19	2.84537460307452e-17	DDX60L
5:148786641:148801044:clu_30375_NA	5_148800089_G_A_b37	ARTTBL	1.38987e-19	4.78267702786353e-17	CARMN
12:113355505:113357292:clu_55151_NA	12_113357209_G_A_b37	LIVER	3.81005e-18	1.61547851543564e-14	OAS1
4:169344925:169348221:clu_11006_NA	4_169347649_C_G_b37	ADPVSC	3.909e-18	1.40428425317528e-15	DDX60L
3:128532380:128532452:clu_86045_NA	3_128569020_C_T_b37	FIBRLBLS	4.26506e-18	1.80411187539382e-15	RAB7A
12:113355505:113356402:clu_55151_NA	12_113357209_G_A_b37	ADRNLG	4.55851e-18	6.15931644003185e-15	OAS1
16:86581174:86581641:clu_63680_NA	16_86581191_G_A_b37	SKINNS	5.92833e-18	1.77001744131597e-15	MTHFSD
12:70636673:70636846:clu_53930_NA	12_70636829_G_A_b37	TESTIS	6.3104e-18	1.76369860131752e-15	CNOT2
3:128532380:128532438:clu_86045_NA	3_128567032_T_C_b37	LUNG	6.80987e-18	1.86159994541881e-15	RAB7A
12:70636673:70637092:clu_53930_NA	12_70636829_G_A_b37	ADPSBQ	6.94651e-18	1.66319128564898e-15	CNOT2
16:86581174:86581641:clu_63680_NA	16_86581191_G_A_b37	FIBRLBLS	3.64715e-17	1.40797578621474e-14	MTHFSD
1:38023349:38027158:clu_40826_NA	1_38015757_A_G_b37	LUNG	6.7874e-17	1.70092725091553e-14	DNALI1
9:34647958:34648045:clu_64729_NA	9_34648020_G_A_b37	SKINNS	9.53623e-17	2.5623227950665e-14	GALT
12:70636673:70637092:clu_53930_NA	12_70636829_G_A_b37	CLNTRN	1.24195e-16	6.65301010921717e-14	CNOT2
13:28015386:28019225:clu_22821_NA	13_28031881_C_T_b37	ADPVSC	1.4822e-16	4.69991440508221e-14	MTIF3
4:169344925:169347922:clu_11006_NA	4_169347649_C_G_b37	LUNG	2.51717e-16	6.00310379083755e-14	DDX60L
10:131862647:131877830:clu_60067_NA	10_131862254_G_A_b37	CLNSGM	4.32447e-16	2.71811839035556e-13	C10orf143
4:169344925:169348221:clu_11006_NA	4_169347649_C_G_b37	CLNTRN	4.89073e-16	2.44690488786557e-13	DDX60L
1:38023349:38027158:clu_40826_NA	1_38023822_G_A_b37	PTTARY	5.01093e-16	5.97183213008427e-13	DNALI1
12:70636673:70637092:clu_53930_NA	12_70636829_G_A_b37	ESPMSL	6.38543e-16	1.59173162738543e-13	CNOT2
12:70636673:70637092:clu_53930_NA	12_70636829_G_A_b37	NERVET	1.28199e-15	2.32537858627619e-13	CNOT2
1:38023349:38027158:clu_40826_NA	1_38010243_G_A_b37	CLNTRN	1.99818e-15	9.2854527279299e-13	DNALI1
16:86581174:86581641:clu_63680_NA	16_86581191_G_A_b37	ARTTBL	2.69095e-15	6.14161491945043e-13	MTHFSD
12:70636673:70637092:clu_53930_NA	12_70636829_G_A_b37	TESTIS	2.95025e-15	5.85724715372017e-13	CNOT2
12:70078388:70087454:clu_53910_NA	12_70089065_G_A_b37	MSCLSK	3.02629e-15	6.24554000885935e-13	BEST3
1:3371408:3379630:clu_39096_NA	1_3382135_C_T_b37	NERVET	3.16193e-15	5.47328663937169e-13	ARHGEF16
16:86581174:86581641:clu_63680_NA	16_86581191_G_A_b37	NERVET	5.99579e-15	1.0074518162099e-12	MTHFSD
6:2959576:2969013:clu_77694_NA	6_2969045_T_C_b37	MSCLSK	8.00202e-15	1.57910065259056e-12	SERPINB6
12:70636673:70637092:clu_53930_NA	12_70636829_G_A_b37	ARTTBL	1.05889e-14	2.28616078037717e-12	CNOT2
9:34647958:34648045:clu_64729_NA	9_34691535_T_C_b37	NERVET	1.18523e-14	1.93778025591522e-12	GALT
16:86581174:86581641:clu_63680_NA	16_86581191_G_A_b37	THYROID	1.43151e-14	2.03601224663091e-12	MTHFSD
16:86581174:86581641:clu_63680_NA	16_86581191_G_A_b37	ARTAORT	1.50672e-14	5.59275218057743e-12	MTHFSD
2:159660881:159672217:clu_72475_NA	2_159667098_G_A_b37	SKINNS	1.78226e-14	3.80550630810267e-12	DAPL1
13:28015386:28019225:clu_22821_NA	13_28015387_C_G_b37	ARTAORT	1.85537e-14	6.82716620806591e-12	MTIF3
13:28015386:28019225:clu_22821_NA	13_28016236_T_C_b37	ESPMSL	2.93672e-14	6.05125490160272e-12	MTIF3
11:428199:428358:clu_88170_NA	11_428385_A_G_b37	THYROID	4.01633e-14	5.44755844024936e-12	ANO9
1:38023349:38027158:clu_40826_NA	1_38023822_G_A_b37	ARTAORT	5.4114e-14	1.88961188790123e-11	DNALI1
16:86581174:86581641:clu_63680_NA	16_86581191_G_A_b37	TESTIS	6.23164e-14	1.04171757599685e-11	MTHFSD
9:34647958:34648045:clu_64729_NA	9_34691535_T_C_b37	ESPMCS	6.75877e-14	1.5210229946512e-11	GALT
13:28015386:28019225:clu_22821_NA	13_28015387_C_G_b37	WHLBLD	7.67979e-14	3.24411615685595e-11	MTIF3
11:428199:428387:clu_88170_NA	11_428385_A_G_b37	SPLEEN	8.33665e-14	7.59005469002146e-11	ANO9
9:34647958:34648045:clu_64729_NA	9_34665274_T_C_b37	ADRNLG	8.55075e-14	6.11770834780776e-11	GALT
4:169344925:169347922:clu_11006_NA	4_169345005_T_C_b37	ADPSBQ	8.91276e-14	1.50174342610008e-11	DDX60L
4:169296675:169299505:clu_11002_NA	4_169297818_C_T_b37	ADPVSC	1.27666e-13	3.00246512317073e-11	DDX60L
4:169344925:169348221:clu_11006_NA	4_169357339_G_A_b37	SKINNS	1.3974e-13	2.74223268177613e-11	DDX60L
16:86581174:86581641:clu_63680_NA	16_86581191_G_A_b37	SKINS	1.46153e-13	2.08991893667004e-11	MTHFSD
9:34647958:34648045:clu_64729_NA	9_34665274_T_C_b37	THYROID	1.68995e-13	2.14539203067026e-11	GALT
1:38023349:38027158:clu_40826_NA	1_38023822_G_A_b37	ADRNLG	1.80469e-13	1.21342379117274e-10	DNALI1
9:34647958:34648045:clu_64729_NA	9_34648020_G_A_b37	SKINS	4.45936e-13	6.11492982908856e-11	GALT
1:38023349:38027158:clu_40826_NA	1_38015757_A_G_b37	ARTTBL	4.84358e-13	8.89737920390286e-11	DNALI1
16:86581174:86581641:clu_63680_NA	16_86581191_G_A_b37	ESPMCS	5.2731e-13	1.08222424647167e-10	MTHFSD
13:28015386:28019225:clu_22821_NA	13_28016236_T_C_b37	THYROID	7.28874e-13	8.60905304448775e-11	MTIF3
6:99979666:100023529:clu_80615_NA	6_100038805_T_C_b37	FIBRLBLS	8.46311e-13	2.09679290015762e-10	CCNC
6:99979666:100023529:clu_80615_NA	6_100038805_T_C_b37	FIBRLBLS	8.46311e-13	2.09679290015762e-10	TSTD3
15:84705756:84706515:clu_21778_NA	15_84706461_C_T_b37	CLNSGM	1.01034e-12	4.31675650332326e-10	ADAMTSL3
11:406538:406843:clu_88167_NA	11_407708_A_C_b37	LUNG	1.45825e-12	2.35780241139482e-10	SIGIRR
20:1903291:1905410:clu_75190_NA	20_1895218_T_C_b37	ARTTBL	1.52923e-12	2.69011751980897e-10	SIRPA
4:169344925:169347922:clu_11006_NA	4_169345005_T_C_b37	FIBRLBLS	5.45562e-12	1.23711359195083e-09	DDX60L
5:148800107:148801044:clu_30375_NA	5_148800089_G_A_b37	ESPMSL	6.23772e-12	9.88960669372197e-10	CARMN
4:169344925:169348221:clu_11006_NA	4_169345005_T_C_b37	STMACH	6.34599e-12	2.34529106213415e-09	DDX60L
